0.013	N
0.254	N
0.250	N
0.574	N
0.400	N
0.694	N
0.398	N
0.254	N
0.312	N
0.251	N
0.285	N
0.252	N
0.344	N
0.251	N
0.251	N
0.282	N
0.410	N
0.310	N
0.251	N
0.251	N
0.250	N
0.251	N
0.251	N
0.248	N
0.252	N
0.251	N
0.251	N
0.250	N
0.253	N
0.255	N
0.250	N
0.251	N
0.250	N
0.251	N
0.262	N
0.250	N
0.248	N
0.253	N
0.251	N
0.250	N
0.251	N
0.256	N
0.250	N
0.251	N
0.251	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.258	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.249	N
0.252	N
0.250	N
0.251	N
0.250	N
0.253	N
0.251	N
0.245	N
0.256	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.255	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.252	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.250	N
0.259	N
0.251	N
2.167	N
0.255	N
0.251	N
0.250	N
0.251	N
0.250	N
0.251	N
0.319	N
